,Unnamed: 0,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WIN%
13,13,12,Detroit_Pistons,82,242.4,37.9,86.4,0.439,9.0,26.2,0.345,28.9,60.2,0.48,17.1,25.5,0.6679999999999999,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0,53.7
3,3,7,Boston_Celtics,82,241.2,39.2,89.2,0.439,8.7,26.1,0.335,30.5,63.1,0.483,18.5,23.5,0.7879999999999999,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,58.5
8,8,7,Charlotte_Hornets,82,242.1,37.0,84.4,0.439,10.6,29.4,0.362,26.4,55.0,0.479,18.7,23.7,0.79,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,103.4,58.5
12,12,11,Indiana_Pacers,82,242.4,38.3,85.2,0.45,8.1,23.0,0.35100000000000003,30.2,62.1,0.486,17.4,22.8,0.764,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2,54.89999999999999
2,2,17,Houston_Rockets,82,241.8,37.7,83.5,0.452,10.7,30.9,0.34700000000000003,27.0,52.6,0.514,20.4,29.4,0.6940000000000001,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5,50.0
4,4,12,Portland_Trail_Blazers,82,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23.0,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,53.7
11,11,14,Dallas_Mavericks,82,244.0,37.4,84.1,0.444,9.8,28.6,0.344,27.5,55.6,0.495,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,51.2
15,15,14,Memphis_Grizzlies,82,241.8,36.8,83.6,0.44,6.1,18.5,0.331,30.7,65.1,0.471,19.3,24.7,0.7829999999999999,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1,51.2
9,9,7,Atlanta_Hawks,82,241.8,38.6,84.4,0.458,9.9,28.4,0.35,28.7,56.1,0.512,15.6,20.0,0.7829999999999999,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,58.5
10,10,4,Toronto_Raptors,82,241.2,36.7,81.3,0.451,8.6,23.4,0.37,28.0,58.0,0.483,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,68.3
4,4,12,Portland_Trail_Blazers,82,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23.0,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,53.7
1,1,5,Oklahoma_City_Thunder,82,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,67.1
10,10,4,Toronto_Raptors,82,241.2,36.7,81.3,0.451,8.6,23.4,0.37,28.0,58.0,0.483,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,68.3
1,1,5,Oklahoma_City_Thunder,82,241.8,41.1,86.4,0.476,8.3,23.7,0.349,32.9,62.6,0.524,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,67.1
0,0,1,Golden_State_Warriors,82,242.4,42.5,87.3,0.487,13.1,31.6,0.416,29.4,55.7,0.528,16.7,21.8,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,89.0
