TeamA,TeamB,Winner
Boston_Celtics,Chicago_Bulls,0
Washington_Wizards,Atlanta_Hawks,0
Toronto_Raptors,Milwaukee_Bucks,0
Cleveland_Cavaliers,Indiana_Pacers,0
Golden_State_Warriors,Portland_Trail_Blazers,0
LA_Clippers,Utah_Jazz,1
Houston_Rockets,Oklahoma_City_Thunder,0
San_Antonio_Spurs,Memphis_Grizzlies,0
Boston_Celtics,Washington_Wizards,0
Toronto_Raptors,Cleveland_Cavaliers,1
Golden_State_Warriors,Utah_Jazz,0
San_Antonio_Spurs,Houston_Rockets,0
Boston_Celtics,Cleveland_Cavaliers,1
Golden_State_Warriors,San_Antonio_Spurs,0
Cleveland_Cavaliers,Golden_State_Warriors,1
