TeamA,TeamB,Winner
Atlanta_Hawks,Brooklyn_Nets,0
Chicago_Bulls,Milwaukee_Bucks,0
Cleveland_Cavaliers,Boston_Celtics,0
Golden_State_Warriors,New_Orleans_Pelicans,0
Portland_Trail_Blazers,Memphis_Grizzlies,1
Toronto_Raptors,Washington_Wizards,1
LA_Clippers,San_Antonio_Spurs,0
Houston_Rockets,Dallas_Mavericks,0
Atlanta_Hawks,Washington_Wizards,0
Chicago_Bulls,Cleveland_Cavaliers,1
Golden_State_Warriors,Memphis_Grizzlies,0
Houston_Rockets,LA_Clippers,0
Atlanta_Hawks,Cleveland_Cavaliers,1
Golden_State_Warriors,Houston_Rockets,0
Cleveland_Cavaliers,Golden_State_Warriors,1
