TeamA,TeamB,Winner
Indiana_Pacers,Atlanta_Hawks,0
Chicago_Bulls,Washington_Wizards,1
Toronto_Raptors,Brooklyn_Nets,1
Miami_Heat,Charlotte_Bobcats,0
San_Antonio_Spurs,Dallas_Mavericks,0
Houston_Rockets,Portland_Trail_Blazers,1
LA_Clippers,Golden_State_Warriors,0
Oklahoma_City_Thunder,Memphis_Grizzlies,0
Indiana_Pacers,Washington_Wizards,0
Miami_Heat,Brooklyn_Nets,0
San_Antonio_Spurs,Portland_Trail_Blazers,0
Oklahoma_City_Thunder,LA_Clippers,0
Indiana_Pacers,Miami_Heat,1
San_Antonio_Spurs,Oklahoma_City_Thunder,0
Miami_Heat,San_Antonio_Spurs,1
